scientific_name,japanese_name,taxonomic_group,name_source
Salamandrella keyserlingii,キタサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius katoi,アカイシサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius akiensis,アキサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius abuensis,アブサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius abei,アベサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius amakusaensis,アマクササンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius hirosei,イシヅチサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius kunibiki,イズモサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius kuishiensis,イヨシマサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius sengokui,イワキサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius iwami,イワミサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius retardatus,エゾサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius dunni,オオイタサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius osumiensis,オオスミサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius boulengeri,オオダイガハラサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius okiensis,オキサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius owariensis,オワリサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius nebulosus,カスミサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius nigrescens,クロサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius geiyoensis,ゲイヨサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius stejnegeri,コガタブチサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius setoi,サンインサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius setouchi,セトウチサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius shinichisatoi,ソボサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius tagoi,タゴサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius oyamai,チクシブチサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius sematonotos,チュウゴクブチサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius tsuensis,ツシマサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius tsurugiensis,ツルギサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius tokyoensis,トウキョウサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius lichenatus,トウホクサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius tosashimizuensis,トサシミズサンショウウオ,サンショウウオ,日本爬虫両棲類学会
Hynobius oni,ナンヨサンショウウオ,サンショウウオ,日本爬虫両棲類学会
